timestamp,tweet_text,username,all_hashtags,followers_count
2021-11-19 19:35:42+00:00,https://t.co/JEM63PP1Ak Apparently #ScottyTheGaslighter believes that the #AntiVaxxer crowd will save him from electoral defeat ??,b'llament',"['ScottyTheGaslighter', 'AntiVaxxer']",840
2021-11-19 19:04:19+00:00,@aussie000050 Not just #antivaxxer. The latest term is #UNDERVAXXER,b'kapsy_tweets',"['antivaxxer', 'UNDERVAXXER']",301
2021-11-19 18:56:43+00:00,#help my mother is an #antivaxxer,b'Frxnnnd',"['help', 'antivaxxer']",8
2021-11-19 18:45:22+00:00,"@ACPSquadron @GeneralTwattery @AlphaGoII1 @bret_walda @badbager6000009 Let me get to my mirror first, #antivaxxer 😂",b'Frankly66712604',['antivaxxer'],125
2021-11-19 18:41:37+00:00,@ACPSquadron @GeneralTwattery @AlphaGoII1 @bret_walda @badbager6000009 #antivaxxer doughnut 😂,b'Frankly66712604',['antivaxxer'],125
2021-11-19 18:37:59+00:00,"@Grim_2021 @CarymaRules @Official_WEM Jenny says they were allowed to walk around unmasked because they ""showed our exemptions"". 🙄 Oh, yeah - reallly believe those are valid! #AntiVaxxer ""exemptions"" are b-s.",b'tmccull603',['AntiVaxxer'],1999
2021-11-19 18:32:01+00:00,#antivaxxer crank https://t.co/HXkAjGouak,b'Frankly66712604',['antivaxxer'],125
2021-11-19 18:05:51+00:00,"#AntiVaxxer ""logic"" and ""proof"": https://t.co/eiu6X2PWcY",b'tmccull603',['AntiVaxxer'],1999
2021-11-19 18:05:48+00:00,"#antivaxxer said, ""No one knows what's in the vaccine.""  I asked, ""Preservatives?""  #antivaxxer  said, ""Yes.""  I said, ""I'm going to be 60 in a few weeks and could use all the preservatives that I can get.""  #antivaxxer's mouth opened and closed like a fish.  #COVID19 #Booster",b'ewoychowsky',"['antivaxxer', 'antivaxxer', 'antivaxxer', 'COVID19', 'Booster']",232
2021-11-19 18:02:17+00:00,"Body language experts are stoking the LizardPeople 🦎 #ConspiracyTheory as #AntiVaxxer #Pfizer CEO Bourla who refuses to take his own Cytotoxic products &amp; cant visit Israel due to, has a pulsating neck like a vomiting chameleon. https://t.co/wUH2qEsirK",b'AOECOINnews',"['ConspiracyTheory', 'AntiVaxxer', 'Pfizer']",19
2021-11-19 18:02:11+00:00,"This 325 ml (11 oz.) dishwasher-safe ceramic #mug featuring a Scouse-Scot design ""Numbskulls"" #illustration makes the perfect gift for the tea or coffee drinker you love.  BUY &gt; https://t.co/IgNvY9j53G  #idiot #funny #stupid #dumb #lunatic #moron #brexiteer #covidiot #antivaxxer https://t.co/lgIZd91Bgo",b'scouse_scot',"['mug', 'illustration', 'idiot', 'funny', 'stupid', 'dumb', 'lunatic', 'moron', 'brexiteer', 'covidiot', 'antivaxxer']",723
2021-11-19 17:59:52+00:00,"@jimsciutto It's all ultra-right-wing politics, @HartDistrict just voted full #AntiVaxxer to reject the California's science-based vaccine mandate and maintain the spread of COVID in their schools.   It's unclear if they want to reject all vaccines or only COVID.",b'BigHeadTales',['AntiVaxxer'],577
2021-11-19 17:57:37+00:00,"At the very end: ""I can't breathe."" This Holocaust-denying POS has been using every disgusting ploy possible to incite his #antivaxxer clan including co-opting #BlackLivesMatter terms. Chris ""Sky"" Saccoccia is a menace to civilized society. https://t.co/m33hqPsClZ",b'Konin122',"['antivaxxer', 'BlackLivesMatter']",32
2021-11-19 17:39:57+00:00,"Ah yes, the good old self-centred, stuck up their own arse, arrogant ""it won't happen to me and too bad if it happens to someone else"" #antivaxxer attitude https://t.co/ZuJNx7wENw",b'Clint_ZA',['antivaxxer'],5218
2021-11-19 17:38:00+00:00,"@dorstvlegel @TelGlobalHealth @PaulNuki @jriggers You leave out the obvious answer for #antivaxxers . Leave your country and take refuge in an #antivaxxer , anti-medicine community. Let us know how that goes when your disease treatments are eating bark and taking a hot bath 😂 #GQPDeathCult",b'ex_cult',"['antivaxxers', 'antivaxxer', 'GQPDeathCult']",280
2021-11-19 17:23:28+00:00,"It's rather ironic that @HartDistrict is still sending out emails promoting clinics for the vaccine  they've come out against.   I guess you can't expect logic or consistency from the anti-science, #AntiVaxxer alt-right Trumpers.",b'BigHeadTales',['AntiVaxxer'],577
2021-11-19 16:58:13+00:00,"oh the irony... #letitiawright acts as one of the smartest #MCU characters, but in reality she's just a brainwashed christian and worst, an ignorant #antivaxxer... just fire her please @MarvelStudios @Marvel #Covid_19 #blackpantherwakandaforever",b'Chintololo2',"['letitiawright', 'MCU', 'antivaxxer', 'Covid_19', 'blackpantherwakandaforever']",9
2021-11-19 16:34:49+00:00,"Shocking, but this review doesn't even finish the Introduction before citing a discredited study.  Article published in Science, Public Health Policy &amp; the Law, a journal run by #antivaxxer James Lyons-Weiler, is cited, despite having been debunked by @DrJenGunter (&amp; others). https://t.co/JjBboksatM https://t.co/RydMrsl8Bd",b'glenpyle',['antivaxxer'],5833
2021-11-19 16:29:56+00:00,"It’s dismaying that the @HartDistrict board passed an anti-science, #AntiVaxxer resolution denouncing California’s vaccination requirement for schools.   What can you expect from a board that harbors an ultra-right-wing propaganda Bongino wannabe?  What’s next, bring back polio?",b'BigHeadTales',['AntiVaxxer'],577
2021-11-19 16:16:44+00:00,@0pttphrPrime @CarymaRules It’s so interesting how the #antivaxxer movement just loves Nazi references and images. It speaks to their affiliations in many cases. #onpoli #COVID19,b'DonSimp80399848',"['antivaxxer', 'onpoli', 'COVID19']",32
2021-11-19 16:00:17+00:00,#chrissky and his wife seem to be searching for face masks. Poor lambs. #antivaxxers #Covid_19 #COVID19 #antivaxxer https://t.co/fer9IHB3aj,b'michaelcoren',"['chrissky', 'antivaxxers', 'Covid_19', 'COVID19', 'antivaxxer']",33224
2021-11-19 15:49:08+00:00,"@JamesDeanBoyd Oh, another #antivaxxer to block because nothing in your response is true. #misinformation",b'MaryFernando_',"['antivaxxer', 'misinformation']",10648
2021-11-19 15:38:50+00:00,@MelissaLMRogers This is due to  #antivaxxer,b'AndresBetancurE',['antivaxxer'],206
2021-11-19 15:34:47+00:00,@Marc_Veld @Cleetwan @Cleetwan is an #antivaxxer. Its like talking to a wall. Dont bother with him. Waste of time.,b'bucketwoman0',['antivaxxer'],238
2021-11-19 15:33:47+00:00,#antivaxxer shutup https://t.co/lPtzX1vXNy,b'JAZZYCAB',['antivaxxer'],1244
2021-11-19 15:21:25+00:00,My Uber just asked me to put a mask on. Go fuck your self. #Antimask #antivaxxer,b'htownATR',"['Antimask', 'antivaxxer']",1379
2021-11-19 15:18:12+00:00,"Dear @Honda, Fire someone(s) for allowing your dealership to be used as an #antivaxxer #insurrectionists rally, or stop talking about your position and just suffer the loss in sales. You come out with ACTION because no one cares about your words or you just shut up. #BoycottHonda https://t.co/d5GGLgPKon",b'RhymesWObvious',"['antivaxxer', 'insurrectionists', 'BoycottHonda']",5875
2021-11-19 15:16:43+00:00,"Germany has a greater vaccination rate than the USA, perhaps a sign of things to come. Please thank your #antivaxxer friends.  Disease control chief: ""All of Germany is one big outbreak"" https://t.co/kqiqjS33lA",b'raytweetie',['antivaxxer'],17
2021-11-19 15:09:57+00:00,Absolutely heartbreaking. And then there are the #antivaxxer zombies. https://t.co/Ik8TZjWi1L,b'AjPelser',['antivaxxer'],2937
2021-11-19 14:46:07+00:00,"#Austria have mandated #CovidVaccines from Feb'22. They have a large #AntiVaxxer contingent of their population, &amp; also have a rather popular far right opposition party. This is a recipe for a far right Austrian government isn't it, at their next election? #MandatoryVaccinations",b'Fordis_',"['Austria', 'CovidVaccines', 'AntiVaxxer', 'MandatoryVaccinations']",54
2021-11-19 14:33:28+00:00,"Hey antivaxxers, You have to do better and knock off your bully tactics. You will be on the wrong side of history. Stop making threats your behavior is unacceptable. #antivaxxer  BBC News - The doctor fleeing Tennessee over Covid https://t.co/Pxi8f2V4A8",b'kcResister',['antivaxxer'],15596
