timestamp,tweet_text,username,all_hashtags,followers_count,favourites
2021-11-05 08:22:26+00:00,"This is a great opportunity to learn more about the capabilities of the platform, as well as to find new users, partners and investors . #VACC #VACCineToken #VACCine #HealthToke https://t.co/e5eQ8FG68L",b'isratjahan1453',"['VACC', 'VACCineToken', 'VACCine', 'HealthToke']",10448,1
2021-11-05 08:20:20+00:00,● NEWS ● #CommonDreams #patent #patents ☞ #Moderna Reports 'Obscene' Profits From Covid #Vaccine Funded by US Taxpayers https://t.co/89Sn0rW3Uy,b'schestowitz',"['CommonDreams', 'patent', 'patents', 'Moderna', 'Vaccine']",7392,0
2021-11-05 08:17:37+00:00,"Barbados receives shipment of 70,200 Pfizer COVID-19 vaccines from the US https://t.co/QnT91IRO5D #covid19 #covid #pandemic #world #Caribbean #vaccine #vaccination #2021  @miaamormottley",b'TimesAssociates',"['covid19', 'covid', 'pandemic', 'world', 'Caribbean', 'vaccine', 'vaccination']",1221,0
2021-11-05 08:15:57+00:00,Columbia news 💉🛂 #covid #Columbia #vaccine #travel https://t.co/XETtlLfdpw,b'ThePoisonIvyM',"['covid', 'Columbia', 'vaccine', 'travel']",145,1
2021-11-05 08:09:51+00:00,When did Gates become a health expert? Why is the world bowing to his vaccine demands. I'm so perplexed 😕🥴 #VaccineMandate #vaccine https://t.co/p4FdHgQV60,b'DuchessOGauteng',"['VaccineMandate', 'vaccine']",250,1
2021-11-05 08:02:35+00:00,Joe Biden nominates Nick Perry to serve as next US Ambassador to Jamaica https://t.co/EOhqP92iox #covid19 #covid #pandemic #world #Caribbean #vaccine #vaccination #2021  @JoeBiden,b'TimesAssociates',"['covid19', 'covid', 'pandemic', 'world', 'Caribbean', 'vaccine', 'vaccination']",1221,0
2021-11-05 08:01:22+00:00,Cops for COVID Truth - Interview with Alexander Cooney https://t.co/ghb9u5E4gK via @YouTube #sackdanandrews #COVID19 #Covid_19 #VaccineMandate #VaccinePassport #Vaccine #COVID19Vic,b'justice864702',"['sackdanandrews', 'COVID19', 'Covid_19', 'VaccineMandate', 'VaccinePassport', 'Vaccine', 'COVID19Vic']",0,0
2021-11-05 08:01:02+00:00,"Meeting friends or family on Bonfire night? Meeting outdoors is safer. If you meet indoors, let fresh air in. #NHS #covid-19 #covid #nhs #facemask #london #oxford #uk #vaccine #flu #ppe #protectyourself #hmgov.uk #fluvaccine https://t.co/oC0Lv2D03a",b'clearearclinic',"['NHS', 'covid', 'covid', 'nhs', 'facemask', 'london', 'oxford', 'uk', 'vaccine', 'flu', 'ppe', 'protectyourself', 'hmgov', 'fluvaccine']",25,1
2021-11-05 08:00:01+00:00,"Trending Now: #After | #Who | #Biden | #China | #Covid | #Climate | #Vaccine | #Democrats | #Virginia | #Police via https://t.co/wooaMBbZWW",b'TomPaineToday',"['After', 'Who', 'Biden', 'China', 'Covid', 'Climate', 'Vaccine', 'Democrats', 'Virginia', 'Police']",5553,0
2021-11-05 07:55:44+00:00,"#WorldHealthSummit ,Berlin, 2021. (Vidéo via S.T). What did he say? Qu'a-t-il dit? 🗣️🗣️ #genetherapy #therapiegenique and not a ""vaccine"" ! The jab is NOT a #vaccine , that's why the CDC changed the REAL definition of ""vaccine"" to fit their lie. #Pfizergate #VaccineSideEffects https://t.co/X2yTDibxMJ",b'Lumen27annis',"['WorldHealthSummit', 'genetherapy', 'therapiegenique', 'vaccine', 'Pfizergate', 'VaccineSideEffects']",282,0
2021-11-05 07:55:34+00:00,"They need to ask her if penicillin now qualifies as a #vaccine under the new definition of vaccine.  Then move on to...  Now that ""vaccine"" means ""added protection"" that means pretty much everything is a VACCINE.",b'BlofeldSchwab',['vaccine'],135,1
2021-11-05 07:54:02+00:00,#Money and political power' changed the way we produce vaccines: Doctor - https://t.co/jfRU9jmFq2 - #Coronavirus #COVID19 #Finance #Medical #University #Vaccine #Yahoo,b'TheGlobalHerald',"['Money', 'Coronavirus', 'COVID19', 'Finance', 'Medical', 'University', 'Vaccine', 'Yahoo']",288,0
2021-11-05 07:53:00+00:00,"""What to know about meningitis in newborns"" -  Meningitis #vaccine: Schedule, benefits, side effects, and more  📰 Read the article: https://t.co/D18FbZwZLp via @mnt  #WSPID2022 #pediatrics #PedsID",b'WSPID',"['vaccine', 'WSPID2022', 'pediatrics', 'PedsID']",2806,0
2021-11-05 07:52:58+00:00,This project deserves attention. The objectives of this project are clearly explained with reasonable facts. All this indicates that this project has a great future…    #VACC #VACCineToken #VACCine #HealthToken,b'AhamedSoton',"['VACC', 'VACCineToken', 'VACCine', 'HealthToken']",3080,1
2021-11-05 07:51:12+00:00,"Here are 8 things to know about the second dose of the #vaccine. Side effects may be stronger than after the first dose, and #immunity isn’t immediate. - https://t.co/hlPoD86sEY LIKE ▪️ SHARE ▪️ FOLLOW",b'personalfitnes3',"['vaccine', 'immunity']",6509,0
2021-11-05 07:50:02+00:00,Address concerns related to vaccination and promote immunity against COVID-19. 🦠💉 #Vaccine #Covid19 #FightAgainstCovid @thekiranbedi @monicadhawanivf @SainaRBharucha https://t.co/AkAHgkuZDb,b'IVFoundation',"['Vaccine', 'Covid19', 'FightAgainstCovid']",5361,0
2021-11-05 07:46:26+00:00,"WA people, get your shit together and get vaccinated if you want your state to open. Your state is sitting at around 60% double vaccinated. Roll up your sleeves and get jab. #VaccineMandate #COVID #vaccine #COVID19 #WA #vaccinated #aus #auspol #COVID #Corona #CovidVaccine",b'ponding001',"['VaccineMandate', 'COVID', 'vaccine', 'COVID19', 'WA', 'vaccinated', 'aus', 'auspol', 'COVID', 'Corona', 'CovidVaccine']",102,0
2021-11-05 07:45:35+00:00,"Covid-19 News Story that Has Me Concerned about More than the Virus | by Justiss Goode | Jun, 2021 | Medium - via @pensignal  Read this story https://t.co/DC9axEl3Ne about how one #teenager struggled to go against his parents wishes about getting the #covid #vaccine this year.",b'GoodeWriter',"['teenager', 'covid', 'vaccine']",107,0
2021-11-05 07:45:19+00:00,"Bryan, Garnier &amp; Co acts as Joint Bookrunner on Valneva’s Nasdaq &amp; Euronext Paris USD 102m Follow-on Offering https://t.co/4Yrtt2AkAu #biotech #covid19 #vaccine #lyme #Chikungunya https://t.co/jQohqxB7fs",b'co_garnier',"['biotech', 'covid19', 'vaccine', 'lyme', 'Chikungunya']",319,0
2021-11-05 07:39:55+00:00,Africa pins hopes on 'breakthrough' #malaria #vaccine https://t.co/1gwVp5xUkd,b'medical_xpress',"['malaria', 'vaccine']",136138,9
2021-11-05 07:39:06+00:00,"Got my first dose- done yesterday november 4,2021 #sinovac #vaccine https://t.co/Hi8xOUBJa8",b'agnesgrospe25',"['sinovac', 'vaccine']",0,0
2021-11-05 07:38:19+00:00,"Understand this, dotards:  According to EVERY DOCTOR EVER, the only benefit of the #Vaccine, is that it keeps YOU from getting a severe case of covid.   Therefore, YOU are not in danger because I refuse to get it.   Stop with “do your part” bullshit. You just look fucking DUMB.🤡",b'ItsJASmith',['Vaccine'],16,0
2021-11-05 07:31:07+00:00,"#Featured Child, 7, Experiences Adverse Reaction After Mistakenly Being Given Adult #Vaccine Dose During Trick-or-Treat Event https://t.co/YQiHRvRSsL",b'mlw975',"['Featured', 'Vaccine']",879,0
2021-11-05 07:31:00+00:00,Get your second dose of #vaccine  @innovforchange @pakvoices @ibcurdu  #Corona #COVID19 https://t.co/dmzQnC0YRt,b'AAPCJ_PK',"['vaccine', 'Corona', 'COVID19']",61,0
2021-11-05 07:29:46+00:00,"Just when you think #Hollywood couldn't get any worse! Refusing the #vaccine is no comparison to lewd public acts in front of minor children. Do you want to be a known sex offender, because shit like this is how your name goes on the list! https://t.co/kNmy3opV1Z",b'Funko304',"['Hollywood', 'vaccine']",295,0
2021-11-05 07:27:18+00:00,"Finally, Covaxin gets approved by WHO https://t.co/JTOxDV18r1 #finally #covaxin #approved #who #bharat #covaxin #emergency #developed #vaccine #travellers #required #meets #women #pregnant #insufficient",b'Timesmagazine01',"['finally', 'covaxin', 'approved', 'who', 'bharat', 'covaxin', 'emergency', 'developed', 'vaccine', 'travellers', 'required', 'meets', 'women', 'pregnant', 'insufficient']",111,1
2021-11-05 07:26:39+00:00,The NHS booking service is sticking rigidly to the 6 month rule for the time being. #booster #vaccine,b'StartledJesus',"['booster', 'vaccine']",511,0
2021-11-05 07:24:52+00:00,"Most craziest is the situation in ""most advanced"" part of the world where most craziest ideas developed around #vaccine 🤦🏾‍♂️ the luxury of materialistic wealth https://t.co/0DSYMmyPpI",b'albcontact',['vaccine'],67732,4
2021-11-05 07:21:34+00:00,"May be a bit lengthy, but we'll worth your time.👇 #covid #vaccine #NoVaccinePassports #NoMandatoryVaccine @coe @EUparliament #StandUp4HumanRights @BILD https://t.co/Hz1SdAPGGr",b'polipoly5',"['covid', 'vaccine', 'NoVaccinePassports', 'NoMandatoryVaccine', 'StandUp4HumanRights']",462,0
2021-11-05 07:15:22+00:00,Why are the rich vaccinated with saline?💉 #vaccine https://t.co/tNgtxlq4zP,b'JLimic',['vaccine'],40,2
2021-11-05 07:15:06+00:00,Everybody NEEDS to read actual #Pfizer information sheet  #vaccinated #VaccinePassports #COVID19 #COVIDIOTS #NoVaccineMandates #Covid_19 #auspol #protest #HoldTheLine #auspol #vaccination #VaccineCentury #vaccine #VaccinesWork #Mandates #NoMandates #COVID19nz #vaccine #Australia https://t.co/UBQ50azl6O,b'Australian_FF',"['Pfizer', 'vaccinated', 'VaccinePassports', 'COVID19', 'COVIDIOTS', 'NoVaccineMandates', 'Covid_19', 'auspol', 'protest', 'HoldTheLine', 'auspol', 'vaccination', 'VaccineCentury', 'vaccine', 'VaccinesWork', 'Mandates', 'NoMandates', 'COVID19nz', 'vaccine', 'Australia']",605,2
2021-11-05 07:11:27+00:00,"ICO which will blow up the market according to experts and I also agree with them. So get your money and join a reliable project, do not lose time!  !! #VACC #VACCineToken #VACCine #HealthToken",b'ellienora98',"['VACC', 'VACCineToken', 'VACCine', 'HealthToken']",4808,0
